Acc_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
200501BS70116,2,1,0,18,0,8,0,0,0,0,1,1,15,2,6,-1,-1,-1,7,1
200501BS70117,1,5,0,18,0,8,0,0,0,0,1,1,15,1,6,618,1,3,6,1
200501BS70117,2,9,0,9,0,8,0,0,0,0,2,1,15,1,-1,-1,-1,-1,-1,-1
200501BS70118,1,9,0,9,0,2,0,0,0,0,3,1,15,1,-1,1796,1,5,5,1
200501BS70119,1,9,0,18,0,1,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1
200501BS70121,1,9,0,9,0,8,0,0,0,0,3,1,15,1,10,1796,1,2,-1,-1
200501BS70121,2,2,0,18,0,8,0,0,0,0,1,1,15,1,7,49,1,3,3,1
200501BS70123,1,19,0,1,0,1,0,0,0,0,1,1,15,1,6,-1,-1,-1,-1,-1
200501BS70124,1,9,0,7,0,8,0,0,0,0,2,1,15,2,7,-1,-1,-1,2,1
200501BS70124,2,9,0,7,0,8,0,0,0,0,1,1,15,1,5,1988,1,3,7,1
200501BS70125,1,3,0,18,0,8,0,0,0,0,4,1,15,2,7,-1,-1,-1,8,1
200501BS70125,2,11,0,9,0,8,0,0,0,0,1,1,15,1,-1,4250,2,2,8,1
200501BS70126,1,9,0,18,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,3,1
200501BS70126,2,1,0,18,0,8,0,0,0,0,1,1,15,1,3,-1,-1,-1,-1,-1
200501BS70127,1,19,0,5,0,1,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1
200501BS70128,1,9,0,7,0,8,0,0,0,0,3,1,15,2,8,1389,1,7,5,1
200501BS70128,2,1,0,18,0,8,0,0,0,0,2,1,15,2,6,-1,-1,-1,7,1
200501BS70129,1,9,0,18,0,8,0,0,0,0,1,1,15,1,7,1360,1,3,6,1
200501BS70130,1,9,0,13,0,1,0,0,0,0,1,1,15,1,6,2295,1,9,2,1
200501BS70130,2,5,0,6,0,1,0,0,0,0,3,1,15,1,6,1137,1,8,10,1
200501BS70131,1,9,0,18,0,1,0,0,0,0,1,1,15,1,-1,-1,-1,-1,-1,-1
200501BS70132,1,9,0,18,0,0,0,0,0,0,1,1,15,1,-1,1598,1,6,-1,-1
200501BS70133,1,5,0,18,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,7,1
200501BS70133,2,9,0,6,0,8,0,0,0,0,1,1,15,2,7,1396,1,13,3,1
200501BS70133,3,9,0,18,0,8,0,0,0,0,3,1,15,1,7,-1,-1,-1,2,1
200501BS70134,1,3,0,18,0,8,0,0,0,0,3,1,1,1,5,-1,-1,-1,3,1
200501BS70134,2,9,0,9,0,8,0,0,0,0,1,1,15,3,-1,1996,1,7,-1,-1
200501BS70135,1,11,0,4,0,0,0,0,0,0,4,1,15,1,9,-1,-1,-1,7,1
200501BS70136,1,9,0,18,0,2,0,0,0,0,4,1,15,1,6,1796,1,8,4,1
200501BS70136,2,1,0,18,0,8,0,0,0,0,1,1,15,1,5,-1,-1,-1,-1,-1
200501BS70137,1,10,0,9,0,8,0,0,0,0,1,1,15,1,8,1993,1,18,7,1
200501BS70137,2,1,0,15,0,8,0,0,0,0,1,1,15,1,7,-1,-1,-1,3,1
200501BS70140,1,3,0,18,0,8,0,0,0,0,1,1,15,2,7,124,1,6,3,1
200501BS70140,2,19,0,9,0,8,0,0,0,0,3,1,15,1,7,-1,-1,-1,6,1
200501BS70141,1,5,0,18,0,8,1,0,0,0,1,1,15,1,6,599,1,6,2,1
200501BS70141,2,9,0,9,0,8,0,0,0,0,1,1,15,1,5,1796,1,4,6,1
200501BS70142,1,5,0,18,0,8,0,0,0,0,3,1,15,1,6,645,1,2,5,2
