Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
200501BS70225,2,1,1,1,6,3,0,0,0,0,-1,4,1
200501BS70226,1,1,1,1,7,3,0,0,0,0,-1,9,-1
200501BS70227,1,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70228,1,1,1,1,9,3,0,0,0,0,-1,8,1
200501BS70229,2,1,1,1,5,3,0,0,0,0,-1,1,1
200501BS70230,2,1,1,1,-1,3,0,0,0,0,-1,3,1
200501BS70231,1,1,1,2,5,3,0,0,0,0,-1,9,1
200501BS70232,1,1,1,1,8,2,0,0,0,0,-1,5,1
200501BS70233,1,1,3,1,8,3,5,1,0,0,-1,0,-1
200501BS70234,1,1,1,1,8,3,0,0,0,0,-1,9,1
200501BS70235,2,1,1,1,5,3,0,0,0,0,-1,1,1
200501BS70236,1,1,1,1,5,3,0,0,0,0,-1,5,1
200501BS70237,1,1,1,1,7,3,0,0,0,0,-1,5,1
200501BS70238,2,1,1,1,6,3,0,0,0,0,-1,1,1
200501BS70239,1,1,3,2,8,2,6,9,0,0,-1,0,1
200501BS70240,2,1,1,1,5,3,0,0,0,0,-1,1,1
200501BS70241,1,1,2,2,7,3,0,0,2,0,-1,8,-1
200501BS70243,1,1,1,1,7,3,0,0,0,0,-1,9,1
200501BS70244,1,1,1,2,6,3,0,0,0,0,-1,9,1
200501BS70245,2,1,1,1,5,3,0,0,0,0,-1,3,1
200501BS70247,2,1,1,2,8,3,0,0,0,0,-1,1,-1
200501BS70248,1,1,3,1,11,3,5,3,0,0,-1,0,1
200501BS70249,1,1,1,1,8,3,0,0,0,0,-1,3,-1
200501BS70250,1,1,2,2,11,3,0,0,0,2,-1,11,-1
